WORD	POS	CHUNK	LI	CLASS	FOCUS
with	IN	B-PP	O	I-cinema	O
Kill	NNP	B-NP	B-IM_MovTitle	I-cinema	O
Bill	NNP	I-NP	I-IM_MovTitle	I-cinema	O
vol	NN	I-NP	I-IM_MovTitle	I-cinema	O
.	.	O	I-IM_MovTitle	I-cinema	O
1	CD	O	I-IM_MovTitle	I-cinema	O
this	DT	B-NP	B-IM_date	I-cinema	O
week	NN	I-NP	I-IM_date	I-cinema	O

Avatar	NNP	B-NP	B-IM_MovTitle	B-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
Belfast	NNP	B-NP	B-IM_LocCity	I-cinema	O

steakhouses	NNS	B-NP	B-IH	B-food	B-FOCUS
in	IN	B-PP	O	I-food	O
the	DT	B-NP	O	I-food	O
town	NN	I-NP	B-IM_LocArea	I-food	O
center	NN	I-NP	I-IM_LocArea	I-food	O
of	IN	B-PP	O	I-food	O
Tokyo	NNP	B-NP	B-IM_LocCity	I-food	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
both	DT	B-NP	O	I-movie	O
Val	NNP	I-NP	B-IM_PerActor	I-movie	O
Kilmer	NNP	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	I-movie	O
Jim	NNP	B-NP	B-IM_PerActor	I-movie	O
Carrey	NNP	I-NP	I-IM_PerActor	I-movie	O

where	WRB	B-ADVP	O	B-cinema	O
can	MD	B-NP	O	I-cinema	O
i	FW	B-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
the	DT	B-NP	B-IM_MovTitle	I-cinema	O
Titanic	NNP	I-NP	I-IM_MovTitle	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
picture	NN	I-NP	I-IH	I-cinema	O
in	IN	B-PP	O	I-cinema	O
Dublin	NNP	B-NP	B-IM_LocCity	I-cinema	O
?	.	O	O	I-cinema	O

Lord	NNP	B-NP	B-IM_MovTitle	B-movie	O
of	IN	B-PP	I-IM_MovTitle	I-movie	O
the	DT	B-NP	I-IM_MovTitle	I-movie	O
Rings	NNP	I-NP	I-IM_MovTitle	I-movie	O
cast	NN	I-NP	B-IH	I-movie	B-FOCUS

comedies	VBZ	B-VP	B-IH	B-movie	B-FOCUS
shown	VBN	I-VP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
week	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
Bristol	NNP	B-NP	B-IM_LocCity	I-movie	O
with	IN	B-PP	O	I-movie	O
Danny	NNP	B-NP	B-IM_PerActor	I-movie	O
De	NNP	I-NP	I-IM_PerActor	I-movie	O
Vito	NNP	I-NP	I-IM_PerActor	I-movie	O

good	JJ	B-NP	O	B-movie	O
action	NN	I-NP	B-IM_MovGenre	I-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Stallone	NNP	B-NP	B-IM_PerActor	I-movie	O
in	IN	B-PP	O	I-movie	O
Ottawa	NNP	B-NP	B-IM_LocCity	I-movie	O
.	.	O	O	I-movie	O

Buenos	NNP	B-NP	B-IM_LocCity	B-cinema	O
Aires	NNP	I-NP	I-IM_LocCity	I-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
thriller	NN	B-NP	B-IM_MovGenre	I-cinema	O
movies	NNS	I-NP	B-IH	I-cinema	O

mexican	JJ	B-NP	B-IM_type	B-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
New	NNP	B-NP	B-IM_LocCity	I-food	O
Orleans	NNP	I-NP	I-IM_LocCity	I-food	O

japanese	JJ	B-NP	B-IM_type	B-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Palermo	NNP	B-NP	B-IM_LocCity	I-food	O
0	0	O	O	I-food	O
Sicily	NNP	B-NP	B-IM_LocRegion	I-food	O
0	0	O	O	I-food	O
Italy	NNP	B-NP	B-IM_LocCountry	I-food	O

4-stars	NNS	B-NP	B-IM_rating	B-hotel	O
hotel	NN	I-NP	B-IH	I-hotel	B-FOCUS
with	IN	B-PP	O	I-hotel	O
swimming	VBG	B-NP	B-IM_service	I-hotel	O
pool	NN	I-NP	I-IM_service	I-hotel	O
near	IN	B-PP	O	I-hotel	O
Hampton	NN	B-NP	B-IM_LocCity	I-hotel	O

horror	NN	B-NP	B-IM_MovGenre	B-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Val	NNP	B-NP	B-IM_PerActor	I-movie	O
Kilmer	NNP	I-NP	I-IM_PerActor	I-movie	O
shown	VBN	B-VP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
saturday	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
Amsterdam	NNP	B-NP	B-IM_LocCity	I-movie	O

Rio	NNP	B-NP	B-IM_LocCity	B-cinema	O
de	IN	I-NP	I-IM_LocCity	I-cinema	O
Janeiro	NNP	I-NP	I-IM_LocCity	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
Tom	NNP	B-NP	B-IM_PerActor	I-cinema	O
Cruise	NNP	I-NP	I-IM_PerActor	I-cinema	O
adventure	NN	I-NP	B-IM_MovGenre	I-cinema	O
movies	NNS	I-NP	B-IH	I-cinema	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Angelina	NNP	B-NP	B-IM_PerActor	I-movie	O
Jolie	NNP	I-NP	I-IM_PerActor	I-movie	O
and	CC	O	O	I-movie	O
Brad	NNP	B-NP	B-IM_PerActor	I-movie	O
Pitt	NNP	I-NP	I-IM_PerActor	I-movie	O
shown	VBN	B-VP	O	I-movie	O
this	DT	B-NP	B-IM_date	I-movie	O
month	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
dortmund	NN	B-NP	B-IM_LocCity	I-movie	O
.	.	O	O	I-movie	O

where	WRB	B-ADVP	O	B-cinema	O
can	MD	B-NP	O	I-cinema	O
i	FW	B-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
Bruce	NNP	B-NP	B-IM_PerActor	I-cinema	O
Willis	NNP	I-NP	I-IM_PerActor	I-cinema	O
in	IN	B-PP	O	I-cinema	O
Colonia	NNP	B-NP	B-IM_LocCity	I-cinema	O
?	.	O	O	I-cinema	O

theaters	NNS	B-NP	B-IH	B-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
Blum	NNP	B-NP	B-IM_PerActor	I-cinema	O
last	JJ	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
in	IN	B-PP	O	I-cinema	O
Springfield	NNP	B-NP	B-IM_LocCity	I-cinema	O
0	0	O	O	I-cinema	O
Lane	NNP	B-NP	B-IM_LocRegion	I-cinema	O
0	0	O	O	I-cinema	O
Oregon	NNP	B-NP	B-IM_LocCountry	I-cinema	O
.	.	O	O	I-cinema	O

fantasy	NN	B-NP	B-IM_MovGenre	B-cinema	O
films	NNS	I-NP	B-IH	I-cinema	B-FOCUS
by	IN	B-PP	O	I-cinema	O
Spielberg	NNP	B-NP	B-IM_PerDirector	I-cinema	O
in	IN	B-PP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	O
of	IN	B-PP	O	I-cinema	O
Springfield	NNP	B-NP	B-IM_LocCity	I-cinema	O
in	IN	B-PP	O	I-cinema	O
oregon	NN	B-NP	B-IM_LocCountry	I-cinema	O
.	.	O	O	I-cinema	O

cinema	NN	B-NP	B-IH	B-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
Springfield	NNP	B-NP	B-IM_LocCity	I-cinema	O
0	0	O	O	I-cinema	O
Illinois	NNP	B-NP	B-IM_LocCountry	I-cinema	O
showing	VBG	B-VP	O	I-cinema	O
movies	NNS	B-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
Ewan	NNP	B-NP	B-IM_PerActor	I-cinema	O
McGregor	NNP	I-NP	I-IM_PerActor	I-cinema	O

Lisbon	NNP	B-NP	B-IM_LocCity	B-movie	O
thriller	NN	I-NP	B-IM_MovGenre	I-movie	O
film	NN	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Mel	NNP	B-NP	B-IM_PerActor	I-movie	O
Gibson	NNP	I-NP	I-IM_PerActor	I-movie	O

Pacino	NNP	B-NP	B-IM_PerActor	B-movie	O
movie	NN	I-NP	B-IH	I-movie	B-FOCUS
this	DT	B-NP	B-IM_date	I-movie	O
week	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
glasgow	NN	B-NP	B-IM_LocCity	I-movie	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
both	DT	B-NP	O	I-movie	O
Clooney	NNP	I-NP	B-IM_PerActor	I-movie	O
and	CC	I-NP	O	I-movie	O
Pitt	NNP	I-NP	B-IM_PerActor	I-movie	O
shown	VBN	B-VP	O	I-movie	O
in	IN	B-PP	O	I-movie	O
york	NN	B-NP	B-IM_LocCity	I-movie	O
theaters	NNS	I-NP	B-IH	I-movie	O
.	.	O	O	I-movie	O

Nicole	JJ	B-NP	B-IM_PerActor	B-movie	O
Kidman	NNP	I-NP	I-IM_PerActor	I-movie	O
movie	NN	I-NP	B-IH	I-movie	O
titles	NNS	I-NP	I-IH	I-movie	B-FOCUS
and	CC	I-NP	O	B-cinema	O
cinemas	NNS	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
Oxford	NNP	B-NP	B-IM_LocCity	I-cinema	O

Next	JJ	B-NP	O	B-movie	O
movie	NN	I-NP	B-IH	I-movie	B-FOCUS
this	DT	B-NP	B-IM_date	I-movie	O
friday	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
madrid	JJ	B-NP	B-IM_LocCity	I-movie	O
.	.	O	O	I-movie	O

dublin	NN	B-NP	B-IM_LocCity	B-cinema	O
theaters	NNS	I-NP	B-IH	I-cinema	B-FOCUS
with	IN	B-PP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
last	JJ	I-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
by	IN	B-PP	O	I-cinema	O
Affleck	NNP	B-NP	B-IM_PerActor	I-cinema	O
.	.	O	O	I-cinema	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
directed	VBN	B-VP	O	I-movie	O
by	IN	B-PP	O	I-movie	O
Eastwood	NNP	B-NP	B-IM_PerDirector	I-movie	O
shown	VBN	B-VP	O	I-movie	O
at	IN	B-PP	B-IM_date	I-movie	O
the	DT	B-NP	I-IM_date	I-movie	O
moment	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
washington	DT	B-NP	B-IM_LocCity	I-movie	O
dc	NN	I-NP	B-IM_LocRegion	I-movie	O
.	.	O	O	I-movie	O

find	VB	B-VP	O	B-movie	O
me	PRP	B-NP	O	I-movie	O
all	PDT	B-NP	O	I-movie	O
the	DT	I-NP	O	I-movie	O
films	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Clint	NNP	B-NP	B-IM_PerActor	I-movie	O
Eastwood	NNP	I-NP	I-IM_PerActor	I-movie	O
shown	VBN	B-VP	O	I-movie	O
at	IN	B-PP	B-IM_date	I-movie	O
the	DT	B-NP	I-IM_date	I-movie	O
moment	NN	I-NP	I-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
theaters	NNS	I-NP	B-IH	I-movie	O
of	IN	B-PP	O	I-movie	O
Rome	NNP	B-NP	B-IM_LocCity	I-movie	O
.	.	O	O	I-movie	O

movies	NNS	B-NP	B-IH	B-movie	B-FOCUS
directed	VBN	B-VP	O	I-movie	O
by	IN	B-PP	O	I-movie	O
Spielberg	NNP	B-NP	B-IM_PerDirector	I-movie	O
shown	VBN	I-NP	O	I-movie	O
today	NN	I-NP	B-IM_date	I-movie	O
in	IN	B-PP	O	I-movie	O
manhattan	NN	B-NP	B-IM_LocRegion	I-movie	O
.	.	O	O	I-movie	O

cinemas	NNS	B-NP	B-IH	B-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
Venice	NNP	B-NP	B-IM_LocCity	I-cinema	O
showing	VBG	B-VP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
last	JJ	I-NP	O	I-cinema	O
fantasy	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
Depp	NNP	B-NP	B-IM_PerActor	I-cinema	O

fantasy	NN	B-NP	B-IM_MovGenre	B-movie	O
movies	NNS	I-NP	B-IH	I-movie	B-FOCUS
with	IN	B-PP	O	I-movie	O
Johnny	NNP	B-NP	B-IM_PerActor	I-movie	O
Depp	NNP	I-NP	I-IM_PerActor	I-movie	O
in	IN	B-PP	O	I-movie	O
the	DT	B-NP	O	I-movie	O
theaters	NNS	I-NP	B-IH	I-movie	O
of	IN	B-PP	O	I-movie	O
new	JJ	B-NP	B-IM_LocCity	I-movie	O
york	NNP	I-NP	I-IM_LocCity	I-movie	O
city	NN	I-NP	I-IM_LocCity	I-movie	O

are	VBP	B-VP	O	B-event	O
there	EX	O	O	I-event	O
any	DT	B-NP	O	I-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
by	IN	B-PP	O	I-event	O
Maroon	NNP	B-NP	B-IM_PerGuest	I-event	O
5	CD	I-NP	I-IM_PerGuest	I-event	O
in	IN	B-PP	O	I-event	O
Milan	NNP	B-NP	B-IM_LocCity	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
month	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

red	JJ	B-NP	B-IM_PerGuest	B-event	O
hot	JJ	I-NP	I-IM_PerGuest	I-event	O
chili	NNS	I-NP	I-IM_PerGuest	I-event	O
peppers	NNS	I-NP	I-IM_PerGuest	I-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
2011	CD	B-NP	B-IM_date	I-event	O
in	IN	B-PP	O	I-event	O
europe	NN	B-NP	B-IM_LocRegion	I-event	O

where	WRB	B-ADVP	O	B-event	O
are	VBP	B-VP	O	I-event	O
the	DT	B-NP	O	I-event	O
next	JJ	I-NP	O	I-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
by	IN	B-PP	O	I-event	O
red	JJ	B-NP	B-IM_PerGuest	I-event	O
hot	JJ	I-NP	I-IM_PerGuest	I-event	O
in	IN	B-PP	O	I-event	O
europe	NN	B-NP	B-IM_LocRegion	I-event	O
?	.	O	O	I-event	O

I	PRP	B-NP	O	B-event	O
'd	MD	B-VP	O	I-event	O
like	VB	I-VP	O	I-event	O
to	TO	I-VP	O	I-event	O
know	VB	I-VP	O	I-event	O
where	WRB	B-ADVP	O	I-event	O
is	VBZ	B-VP	O	I-event	O
going	VBG	I-VP	O	I-event	O
to	TO	I-VP	O	I-event	O
be	VB	I-VP	O	I-event	O
a	DT	B-NP	O	I-event	O
concert	NN	I-NP	B-IH	I-event	B-FOCUS
by	IN	B-PP	O	I-event	O
RHCP	NNP	B-NP	B-IM_PerGuest	I-event	O
in	IN	B-PP	O	I-event	O
Europe	NNP	B-NP	B-IM_LocRegion	I-event	O
this	DT	B-NP	B-IM_date	I-event	O
year	NN	I-NP	I-IM_date	I-event	O
and	CC	O	O	B-hotel	O
what	WP	B-NP	O	I-hotel	O
is	VBZ	B-VP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
closest	JJS	I-NP	O	I-hotel	O
hostel	NN	I-NP	B-IH	I-hotel	B-FOCUS
.	.	O	O	I-hotel	O

tell	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
washington	CD	B-NP	B-IM_LocCity	I-cinema	O
where	WRB	B-ADVP	O	I-cinema	O
i	FW	B-NP	O	I-cinema	O
could	MD	B-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
Madagascar	NNP	B-NP	B-IM_MovTitle	I-cinema	O
this	DT	B-NP	B-IM_date	I-cinema	O
week	NN	I-NP	I-IM_date	I-cinema	O

find	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
an	DT	B-NP	O	I-cinema	O
horror	NN	I-NP	B-IM_MovGenre	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
tonight	NN	I-NP	B-IM_date	I-cinema	O
in	IN	B-PP	O	I-cinema	O
Trenton	NNP	B-NP	B-IM_LocCity	I-cinema	O
0	0	O	O	I-cinema	O
NJ	NN	B-NP	B-IM_LocCountry	I-cinema	O

are	VBP	B-VP	O	B-event	O
there	RB	B-NP	O	I-event	O
U2	JJ	I-NP	B-IM_PerGuest	I-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
ireland	NN	B-NP	B-IM_LocCountry	I-event	O
next	JJ	B-NP	B-IM_date	I-event	O
year	NN	I-NP	I-IM_date	I-event	O
?	.	O	O	I-event	O

give	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
where	WRB	B-ADVP	O	I-cinema	O
i	FW	B-NP	O	I-cinema	O
can	MD	B-VP	O	I-cinema	O
go	VB	I-VP	O	I-cinema	O
and	CC	I-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
Seven	CD	B-NP	B-IM_MovTitle	I-cinema	O
in	IN	B-PP	O	I-cinema	O
tokyo	NN	B-NP	B-IM_LocCity	I-cinema	O
.	.	O	O	I-cinema	O

i	PRP	B-NP	O	B-hotel	O
'm	VBP	B-VP	O	I-hotel	O
looking	VBG	I-VP	O	I-hotel	O
for	IN	B-PP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
double	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
glasgow	NN	B-NP	B-IM_LocCity	I-hotel	O
for	IN	B-PP	O	I-hotel	O
next	JJ	B-NP	B-IM_date	I-hotel	O
week	NN	I-NP	I-IM_date	I-hotel	O
.	.	O	O	I-hotel	O

acdc	JJ	B-NP	B-IM_PerGuest	B-event	O
concerts	NNS	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
europe	NN	B-NP	B-IM_LocRegion	I-event	O
and	CC	I-NP	O	B-hotel	O
nearest	JJS	I-NP	O	I-hotel	O
low	JJ	I-NP	O	I-hotel	O
cost	NN	I-NP	O	I-hotel	O
hotels	NNS	I-NP	B-IH	I-hotel	B-FOCUS

where	WRB	B-ADVP	O	B-hotel	O
is	VBZ	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
nice	JJ	I-NP	O	I-hotel	O
room	NN	I-NP	B-IH	I-hotel	B-FOCUS
in	IN	B-PP	O	I-hotel	O
bristol	JJ	B-NP	B-IM_LocCity	I-hotel	O
close	NN	I-NP	O	I-hotel	O
to	TO	B-PP	O	I-hotel	O
the	DT	B-NP	O	I-hotel	O
concert	NN	I-NP	B-IH	I-hotel	O
by	IN	B-PP	O	I-hotel	O
nickelback	NN	B-NP	B-IM_PerGuest	I-hotel	O
?	.	O	O	I-hotel	O

cheap	JJ	B-NP	O	B-food	O
italian	JJ	I-NP	B-IM_type	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
the	DT	B-NP	B-IM_LocCity	I-food	O
bronx	NN	I-NP	I-IM_LocCity	I-food	O
and	CC	I-NP	O	B-other	O
closest	JJS	I-NP	O	I-other	O
bus	NN	I-NP	B-IH	I-other	O
stop	NN	I-NP	I-IH	I-other	B-FOCUS

i	PRP	B-NP	O	B-hotel	O
want	VBP	B-VP	O	I-hotel	O
a	DT	B-NP	O	I-hotel	O
single	JJ	I-NP	B-IH	I-hotel	O
room	NN	I-NP	I-IH	I-hotel	B-FOCUS
0	0	O	O	B-cinema	O
a	DT	B-NP	O	B-fun	O
pub	NN	I-NP	B-IH	I-fun	B-FOCUS
and	CC	O	O	B-event	O
a	DT	B-NP	O	I-event	O
cultural	JJ	I-NP	B-IM_type	I-event	O
event	NN	I-NP	B-IH	I-event	B-FOCUS
in	IN	B-PP	O	I-event	O
washington	NN	B-NP	B-IM_LocCity	I-event	O
for	IN	B-PP	O	I-event	O
next	JJ	B-NP	B-IM_date	I-event	O
week	NN	I-NP	I-IM_date	I-event	O
.	.	O	O	I-event	O

what	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
good	JJ	I-NP	O	I-food	O
dining	NN	I-NP	B-IH	I-food	O
spot	NN	I-NP	I-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
bruxelles	NNS	B-NP	B-IM_LocCity	I-food	O
close	RB	B-ADVP	O	I-food	O
to	TO	B-PP	O	I-food	O
a	DT	B-NP	O	I-food	O
fascinating	JJ	I-NP	O	I-food	O
event	NN	I-NP	B-IH	I-food	O
for	IN	B-PP	O	I-food	O
this	DT	B-NP	B-IM_date	I-food	O
evening	NN	I-NP	I-IM_date	I-food	O
?	.	O	O	I-food	O

Where	WRB	B-ADVP	O	B-food	O
are	VBP	B-VP	O	I-food	O
some	DT	B-NP	O	I-food	O
cheap	JJ	I-NP	O	I-food	O
sandwich	NN	I-NP	B-IH	I-food	O
places	NNS	I-NP	I-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
Newcastle	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

any	DT	B-NP	O	B-fun	O
club	NN	I-NP	B-IH	I-fun	B-FOCUS
near	IN	B-PP	O	I-fun	O
LA	NNP	B-NP	B-IM_LocCity	I-fun	O
/	NN	I-NP	O	I-fun	O
San	NNP	I-NP	B-IM_LocRegion	I-fun	O
Fernando	NNP	I-NP	I-IM_LocRegion	I-fun	O
Valley	NNP	I-NP	I-IM_LocRegion	I-fun	O
?	.	O	O	I-fun	O

MUST	RB	B-ADVP	O	B-food	O
GO	NNP	B-NP	O	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
New	NNP	B-NP	B-IM_LocCity	I-food	O
York	NNP	I-NP	I-IM_LocCity	I-food	O

What	WP	B-NP	O	B-food	O
is	VBZ	B-VP	O	I-food	O
a	DT	B-NP	O	I-food	O
great	JJ	I-NP	O	I-food	O
seafood	NN	I-NP	B-IM_type	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
New	NNP	B-NP	B-IM_LocCity	I-food	O
Orleans	NNP	I-NP	I-IM_LocCity	I-food	O
?	.	O	O	I-food	O

What	WP	B-NP	O	B-food	O
are	VBP	B-VP	O	I-food	O
some	DT	B-NP	O	I-food	O
great	JJ	I-NP	O	I-food	O
0	0	I-NP	O	I-food	O
cheap	JJ	I-NP	O	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
NYC	NNP	B-NP	B-IM_LocCity	I-food	O
?	.	O	O	I-food	O

find	VB	B-VP	O	B-food	O
me	PRP	B-NP	O	I-food	O
a	DT	B-NP	O	I-food	O
good	JJ	I-NP	O	I-food	O
restaurant	NN	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
mumbai	NN	B-NP	B-IM_LocCity	I-food	O
and	CC	O	O	B-cinema	O
the	DT	B-NP	O	I-cinema	O
closest	JJS	I-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS

Good	JJ	B-NP	O	B-food	O
place	NN	I-NP	B-IH	I-food	B-FOCUS
to	TO	B-VP	I-IH	I-food	O
eat	VB	I-VP	I-IH	I-food	O
in	IN	B-PP	O	I-food	O
oklahoma	NNP	B-NP	B-IM_LocCity	I-food	O
city	NN	I-NP	I-IM_LocCity	I-food	O

i	PRP	B-NP	O	B-food	O
'm	VBP	B-VP	O	I-food	O
looking	VBG	I-VP	O	I-food	O
for	IN	B-PP	O	I-food	O
unique	JJ	B-NP	O	I-food	O
restaurants	NNS	I-NP	B-IH	I-food	B-FOCUS
in	IN	B-PP	O	I-food	O
montreal	NN	B-NP	B-IM_LocCity	I-food	O

Where	WRB	B-ADVP	O	B-cinema	O
can	MD	O	O	I-cinema	O
I	PRP	B-NP	O	I-cinema	O
watch	VB	B-VP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
Final	NNP	I-NP	B-IM_MovTitle	I-cinema	O
